,id_disciplina,nome_componete_curricular,taxa_reprov,n
293,27401,EXTENSÃO RURAL E EMPREENDEDORISMO,0.25668449197860965,187
294,18600,MATEMÁTICA - 1º ANO,0.2548435171385991,671
295,18592,LÍNGUA PORTUGUESA - 1º ANO,0.25411061285500747,669
296,28016,BIOÉTICA E LEGISLAÇÃO PROFISSIONAL,0.25301204819277107,83
297,27157,NOÇÕES DE PRIMEIROS SOCORROS,0.2529411764705882,170
298,21154,O CUIDADO E O CUIDADOR,0.2529411764705882,340
299,27355,ÉTICA E ORIENTAÇÃO PROFISSIONAL,0.2529411764705882,170
300,18066,NOÇÕES DE PRIMEIROS SOCORROS,0.25091799265605874,817
301,22431,REPRODUÇÃO DE RÃS,0.25,148
302,18691,FATORES DE PRODUÇÃO ANIMAL,0.2485207100591716,507
303,20442,CONTROLE HIGIÊNICO-SANITÁRIO DOS ALIMENTOS,0.24848484848484848,495
304,21170,FARMACOLOGIA BÁSICA,0.24796747967479674,246
305,18071,EDUCAÇÃO EM SAÚDE,0.2469733656174334,826
306,25599,SEGURANÇA E HIGIENE DO LABORATÓRIO,0.24691358024691357,81
307,18673,IRRIGAÇÃO E DRENAGEM,0.246684350132626,754
308,28769,ATIVIDADE INTEGRADORA DAS LINGUAGENS I,0.2465753424657534,73
309,18692,FATORES DE PRODUÇÃO VEGETAL,0.24603174603174602,504
310,25598,ÉTICA PROFISSIONAL E RELAÇÕES INTERPESSOAIS,0.24390243902439024,82
311,27109,TCC CTRIS,0.24390243902439024,41
312,21162,BIOÉTICA E ESPIRITUALIDADE,0.24358974358974358,312
313,28107,PRÓTESE PARCIAL FIXA III,0.24324324324324326,37
314,26948,LEGISLAÇÃO DA PRODUÇÃO ORGÂNICA,0.24305555555555555,288
315,20179,ÉTICA EM SAÚDE,0.241635687732342,269
316,27226,LEGISLAÇÃO E ÉTICA PROFISSIONAL,0.24074074074074073,108
317,18099,OCLUSÃO,0.24041811846689895,287
318,18700,FUNDAMENTOS DA NUTRIÇÃO,0.23932926829268292,656
319,18074,INTRODUÇÃO À MICROINFORMÁTICA,0.23921085080147966,811
320,20444,BROMATOLOGIA,0.2375,400
321,18598,ARTE - 1º ANO,0.23564954682779457,662
322,28736,ARTE - 1° ANO EJA - EPT,0.23529411764705882,68
323,21157,PROCESSO SAÚDE E DOENÇA,0.23509933774834438,302
324,27350,EXTENSÃO RURAL E EMPREENDEDORISMO,0.2345679012345679,81
325,18618,FILOSOFIA - 1º ANO,0.23407407407407407,675
326,27155,AMBIENTAÇÃO NA EDUCAÇÃO À DISTÂNCIA,0.23391812865497075,171
327,25663,APLICATIVOS E INTERNET,0.23333333333333334,60
328,26954,ÉTICA E EMPREENDEDORISMO NA HORTICULTURA ORGÂNICA,0.2326388888888889,288
329,25649,ARBORIZAÇÃO URBANA,0.23214285714285715,56
330,20188,EDUCAÇÃO EM SAÚDE,0.23137254901960785,255
331,28085,SAÚDE BUCAL COLETIVA,0.23076923076923078,78
332,25648,PROJETOS II,0.22727272727272727,44
333,25652,DESENHO AUXILIADO POR COMPUTADOR,0.22641509433962265,53
334,27400,SEGURANÇA DO TRABALHO,0.22641509433962265,53
335,28117,ANATOMIA E FISIOLOGIA HUMANA,0.2261904761904762,84
336,27229,INTRODUÇÃO À EPIDEMIOLOGIA E AO CONTROLE DE ZOONOSES,0.22580645161290322,93
337,27105,PLANEJAMENTO EM SAÚDE,0.22413793103448276,58
338,27083,AMBIENTAÇÃO DO ENSINO À DISTÂNCIA,0.2236842105263158,228
339,25650,LICENCIAMENTO E LEGISLAÇÃO AMBIENTAL,0.2222222222222222,45
340,28114,ENVELHECIMENTO HUMANO,0.2222222222222222,90
341,25647,MACROPAISAGISMO,0.2222222222222222,45
